Rank,Team,W,L,Pct.
142,San Diego St. (Mountain West),15,14,0.517
142,Oakland (Horizon),15,14,0.517
142,Northeastern (CAA),15,14,0.517
142,George Washington (Atlantic 10),15,14,0.517
142,Montana St. (Big Sky),15,14,0.517
142,Delaware (CAA),15,14,0.517
148,Charlotte (C-USA),16,15,0.516
149,Houston (AAC),16,16,0.5
149,Presbyterian (Big South),15,15,0.5
149,Bradley (MVC),15,15,0.5
149,Michigan St. (Big Ten),15,15,0.5
149,Marist (MAAC),15,15,0.5
149,Tulsa (AAC),15,15,0.5
149,Central Conn. St. (NEC),15,15,0.5
149,Bucknell (Patriot),14,14,0.5
149,Western Mich. (MAC),14,14,0.5
149,UNC Asheville (Big South),13,13,0.5
149,Columbia (Ivy League),12,12,0.5
160,Canisius (MAAC),15,16,0.484
160,Southern Utah (Big Sky),15,16,0.484
160,Wofford (SoCon),15,16,0.484
160,Rider (MAAC),15,16,0.484
164,Kent St. (MAC),14,15,0.483
164,Charleston So. (Big South),14,15,0.483
164,Wake Forest (ACC),14,15,0.483
164,LMU (CA) (WCC),14,15,0.483
164,UNCW (CAA),14,15,0.483
164,SIUE (OVC),14,15,0.483
164,Ole Miss (SEC),14,15,0.483
171,Jackson St. (SWAC),17,19,0.472
172,Ohio St. (Big Ten),15,17,0.469
172,Arizona (Pac-12),15,17,0.469
172,Bryant (NEC),15,17,0.469
175,Quinnipiac (MAAC),14,16,0.467
175,DePaul (Big East),14,16,0.467
175,Mercer (SoCon),14,16,0.467
175,Fresno St. (Mountain West),14,16,0.467
175,Louisiana (Sun Belt),14,16,0.467
175,Butler (Big East),14,16,0.467
181,UTEP (C-USA),13,15,0.464
181,Louisiana Tech (C-USA),13,15,0.464
183,Fordham (Atlantic 10),12,14,0.462
184,Syracuse (ACC),11,13,0.458
185,North Florida (ASUN),15,18,0.455
186,St. Francis Brooklyn (NEC),14,17,0.452
186,Lehigh (Patriot),14,17,0.452
186,UTRGV (WAC),14,17,0.452
186,Southeastern La. (Southland),14,17,0.452
190,North Dakota St. (Summit League),13,16,0.448
190,Niagara (MAAC),13,16,0.448
192,Prairie View (SWAC),17,21,0.447
192,Alabama St. (SWAC),17,21,0.447
194,UAB (C-USA),12,15,0.444
194,Cal St. Fullerton (Big West),12,15,0.444
194,Stetson (ASUN),12,15,0.444
194,Temple (AAC),12,15,0.444
198,Sacramento St. (Big Sky),14,18,0.438
198,Northwestern (Big Ten),14,18,0.438
198,Elon (CAA),14,18,0.438
198,Southern Ill. (MVC),14,18,0.438
202,Colorado (Pac-12),13,17,0.433
202,Buffalo (MAC),13,17,0.433
202,Middle Tenn. (C-USA),13,17,0.433
202,Appalachian St. (Sun Belt),13,17,0.433
202,Pacific (WCC),13,17,0.433
202,Tennessee Tech (OVC),13,17,0.433
202,Mississippi St. (SEC),13,17,0.433
209,CSUN (Big West),12,16,0.429
209,UConn (AAC),12,16,0.429
209,Long Beach St. (Big West),12,16,0.429
212,Indiana (Big Ten),14,19,0.424
213,Seattle U (WAC),13,18,0.419
213,New Orleans (Southland),13,18,0.419
213,Loyola Maryland (Patriot),13,18,0.419
213,Virginia (ACC),13,18,0.419
213,Coppin St. (MEAC),13,18,0.419
213,Idaho (Big Sky),13,18,0.419
219,West Virginia (Big 12),12,17,0.414
219,LIU (NEC),12,17,0.414
219,Tennessee St. (OVC),12,17,0.414
219,Alabama (SEC),12,17,0.414
223,Valparaiso (MVC),14,20,0.412
224,Nicholls St. (Southland),11,16,0.407
225,Maryland (Big Ten),13,19,0.406
225,Lafayette (Patriot),13,19,0.406
225,UT Martin (OVC),13,19,0.406
225,Georgetown (Big East),13,19,0.406
229,North Dakota (Summit League),12,18,0.4
229,Dartmouth (Ivy League),10,15,0.4
231,Clemson (ACC),11,17,0.393
231,Saint Mary's (CA) (WCC),11,17,0.393
231,McNeese (Southland),11,17,0.393
231,Eastern Mich. (MAC),11,17,0.393
235,UMES (MEAC),12,19,0.387
236,FIU (C-USA),10,16,0.385
236,Texas Southern (SWAC),10,16,0.385
236,Radford (Big South),10,16,0.385
236,Miami (FL) (ACC),10,16,0.385
240,Siena (MAAC),11,18,0.379
240,Portland (WCC),11,18,0.379
240,Delaware St. (MEAC),11,18,0.379
243,La.-Monroe (Sun Belt),12,20,0.375
244,Xavier (Big East),10,17,0.37
244,UNC Greensboro (SoCon),10,17,0.37
244,Georgia St. (Sun Belt),10,17,0.37
244,Duquesne (Atlantic 10),10,17,0.37
248,Duke (ACC),11,19,0.367
248,Gonzaga (WCC),11,19,0.367
248,New Mexico (Mountain West),11,19,0.367
248,Utah Valley (WAC),11,19,0.367
248,NC State (ACC),11,19,0.367
248,Arkansas (SEC),11,19,0.367
254,Davidson (Atlantic 10),10,18,0.357
255,Virginia Tech (ACC),11,20,0.355
255,Austin Peay (OVC),11,20,0.355
257,Lamar University (Southland),9,17,0.346
257,Kansas (Big 12),9,17,0.346
257,TCU (Big 12),9,17,0.346
257,Stony Brook (America East),9,17,0.346
261,San Jose St. (Mountain West),10,19,0.345
261,Portland St. (Big Sky),10,19,0.345
263,Southern U. (SWAC),10,20,0.333
263,Florida A&M (MEAC),9,18,0.333
265,Iowa (Big Ten),10,21,0.323
265,Jacksonville (ASUN),10,21,0.323
267,Kansas St. (Big 12),9,19,0.321
267,Wichita St. (AAC),9,19,0.321
267,CSU Bakersfield (WAC),9,19,0.321
267,Toledo (MAC),9,19,0.321
271,Hampton (Big South),8,17,0.32
272,Missouri St. (MVC),10,22,0.313
273,Oregon (Pac-12),9,20,0.31
273,The Citadel (SoCon),9,20,0.31
275,Rhode Island (Atlantic 10),8,18,0.308
276,UMBC (America East),7,16,0.304
277,Eastern Ky. (OVC),9,21,0.3
278,Cleveland St. (Horizon),8,19,0.296
279,Ark.-Pine Bluff (SWAC),10,24,0.294
280,Oregon St. (Pac-12),9,22,0.29
280,Drake (MVC),9,22,0.29
282,Youngstown St. (Horizon),8,21,0.276
282,San Francisco (WCC),8,21,0.276
284,Abilene Christian (Southland),7,19,0.269
284,USC Upstate (Big South),7,19,0.269
286,Northern Ill. (MAC),8,22,0.267
286,Air Force (Mountain West),8,22,0.267
288,Ga. Southern (Sun Belt),7,20,0.259
288,Furman (SoCon),7,20,0.259
288,William & Mary (CAA),7,20,0.259
291,Rutgers (Big Ten),8,23,0.258
291,Manhattan (MAAC),8,23,0.258
291,Oral Roberts (Summit League),8,23,0.258
294,Seton Hall (Big East),8,24,0.25
294,Grambling (SWAC),8,24,0.25
294,Bethune-Cookman (MEAC),8,24,0.25
294,N.C. Central (MEAC),8,24,0.25
294,Indiana St. (MVC),7,21,0.25
294,Col. of Charleston (CAA),7,21,0.25
300,Auburn (SEC),7,22,0.241
300,IUPUI (Horizon),7,22,0.241
302,Idaho St. (Big Sky),7,23,0.233
302,Alcorn (SWAC),7,23,0.233
302,Montana (Big Sky),7,23,0.233
302,South Fla. (AAC),7,23,0.233
302,UIW (Southland),7,23,0.233
302,Chattanooga (SoCon),7,23,0.233
308,Harvard (Ivy League),5,18,0.217
309,Little Rock (Sun Belt),6,22,0.214
309,South Dakota St. (Summit League),6,22,0.214
309,UC Riverside (Big West),6,22,0.214
312,Western Ill. (Summit League),6,23,0.207
313,Eastern Wash. (Big Sky),6,24,0.2
313,Providence (Big East),6,24,0.2
315,UC Irvine (Big West),5,23,0.179
315,Iona (MAAC),5,23,0.179
317,Holy Cross (Patriot),5,25,0.167
318,Chicago St. (WAC),5,26,0.161
319,George Mason (Atlantic 10),4,22,0.154
320,Fairleigh Dickinson (NEC),4,26,0.133
321,Gardner-Webb (Big South),3,22,0.12
322,Mississippi Val. (SWAC),4,30,0.118
323,Saint Francis (PA) (NEC),3,25,0.107
324,Eastern Ill. (OVC),3,26,0.103
324,Southern Miss. (C-USA),3,26,0.103
326,Saint Peter's (MAAC),3,27,0.1
327,Norfolk St. (MEAC),2,23,0.08
328,Utah St. (Mountain West),2,28,0.067
329,Belmont (OVC),2,29,0.065
330,NJIT (ASUN),1,31,0.031
331,Binghamton (America East),0,23,0
331,South Carolina St. (MEAC),0,25,0
